"","loop","reduce","func","mem"
"38",7279.58415841584,77074.4851485149,268535.445544554,13243.7722772277
"39",7426.42574257426,68075.9504950495,256183.594059406,12445.0396039604
"40",16057.9900990099,93157.7128712871,336137.148514851,19066.8910891089
"41",8182.82178217822,86423,260095.752475248,17723.3465346535
"42",12216.3762376238,85440.7524752475,335840.673267327,12989.7722772277
"43",8626.0297029703,109596.633663366,283723.900990099,12363.1287128713
"44",8860.26732673267,78674.8811881188,305590.673267327,12349.0495049505
"45",7324.75247524752,92040.0099009901,289374.851485149,12329.2376237624
"46",8865.92079207921,90563.7821782178,320172.366336634,14310.7524752475
"47",8343.73267326733,85158.4851485149,290057.881188119,12416.7821782178
"48",10062.7128712871,78347.4851485149,322498.217821782,18169.2277227723
"49",7886.45544554455,107420.425742574,376556.98019802,13006.7128712871
"50",7225.9603960396,84895.9900990099,352045.376237624,12007.4752475248
"51",7355.80198019802,75426.0297029703,377158.198019802,14700.2871287129
"52",11372.4158415842,100140.871287129,334457.683168317,13212.7326732673
"53",8439.58415841584,86767.3663366337,347814.297029703,18163.5841584158
"54",7417.92079207921,80015.6336633663,352254.178217822,12481.7128712871
"55",8058.66336633663,98043.6732673267,379797.346534653,12924.8613861386
"56",7542.09900990099,79510.3861386139,375227.495049505,14005.9405940594
"57",7767.93069306931,83876.9603960396,501477.445544554,12131.7128712871
"58",9763.55445544554,88802.4554455446,411475.594059406,26442.3366336634
"59",8199.79207920792,81099.5841584158,392916.811881188,14801.8811881188
"60",8287.32673267327,82668.9603960396,405875.495049505,15270.4554455446
"61",103880.871287129,93626.3069306931,438129.495049505,17582.2079207921
"62",7612.70297029703,101317.940594059,441056.594059406,12552.2574257426
"63",9489.72277227723,103327.613861386,457247.148514851,12351.8712871287
"64",8959.11881188119,97518.6732673267,460357.673267327,12498.6534653465
"65",8129.23762376238,87436.297029703,475122.732673267,14034.1485148515
"66",7688.87128712871,108035.811881188,471690.445544554,13828.0693069307
"67",8527.22772277228,90030.2772277228,475232.871287129,13368.0198019802
"68",9910.30693069307,87800.4653465346,652425.485148515,12230.504950495
"69",7911.87128712871,97360.6930693069,492699.198019802,17655.5841584158
"70",8329.62376237624,89807.2376237624,499205.366336634,15803.9702970297
"71",8287.24752475247,106635.762376238,541502.316831683,12665.1881188119
"72",12857.1485148515,90696.4356435644,479288.940594059,12823.2277227723
"73",8053.0495049505,102401.782178218,525698.465346535,12699.0891089109
"74",8239.28712871287,108775.257425743,536243.722772277,12464.7623762376
"75",8084.07920792079,96703,512172.415841584,12786.5445544554
"76",14993.8514851485,122408.475247525,530654.900990099,12377.2574257426
"77",10740.1386138614,107550.277227723,580979.376237624,13918.4257425743
"78",8877.21782178218,112709.97029703,565200.97029703,13653.1188118812
"79",8055.82178217822,97558.2079207921,550938.267326733,16966.8514851485
"80",8109.48514851485,110147.099009901,552476.544554455,22854.8415841584
"81",7934.47524752475,109638.920792079,570628.821782178,12800.6435643564
"82",10212.2772277228,113607.633663366,594700.118811881,12749.8415841584
"83",9588.51485148515,109212.801980198,617789.148514851,13526.0594059406
"84",8414.30693069307,104617.564356436,607517.594059406,16907.5643564356
"85",8865.89108910891,99150.1782178218,595696.495049505,15007.9702970297
"86",10333.6930693069,120252.00990099,606464.702970297,12391.3762376238
"87",8527.19801980198,101724.415841584,620730.277227723,12744.2079207921
"88",12845.8217821782,128776.396039604,672920.415841584,23196.3762376238
"89",10288.5148514851,118826.643564356,676589.891089109,13376.4851485149
"90",8507.45544554455,107013.95049505,654740.00990099,12450.6534653465
"91",8772.75247524753,137351.495049505,649089.108910891,21387.0792079208
"92",10294.198019802,104566.762376238,660571.534653465,14556.3267326733
"93",8487.66336633663,118535.861386139,833843.613861386,12955.9108910891
"94",8764.34653465346,114448.742574257,738345.940594059,12970.0099009901
"95",12803.4455445545,106153.069306931,701897.435643564,18778.9900990099
"96",8942.15841584158,121733.920792079,725810.693069307,12512.7623762376
"97",8676.84158415842,130997.762376238,727213.475247525,12205.0891089109
"98",8719.17821782178,110655.128712871,739511.653465347,14186.5346534653
"99",9368.37623762376,119001.613861386,754513.910891089,15674.1287128713
"100",9091.76237623762,141184.574257426,749430.366336634,15016.3861386139
